Room Name,Floor Area,Volume,Number of People,Calculated Ventilation CFM,Input Ventilation CFM,Cooling CFM,Cooling Tons,Heating CFM,Instant Sensible Cooling,Delay Sensible Cooling,Latent Cooling,Total Cooling Load,Instant Sensible Heating,Delay Sensible Heating,Latent Heating,Total Heating Load
009 Apt Living,530,6190.3,2.00,45,45,194,0.37,194,2016,2076,318,4411,-764,-1247,0,-2028,
009A Apt Bed,78,1188.3,2.00,17,17,56,0.12,56,512,659,229,1400,-105,-592,0,-702,
009B Apt Bed,0,1741.4,2.00,20,20,72,0.15,72,665,856,241,1763,-178,-1314,0,-1500,
009B.1 Apt Closet,0,503.2,0.00,3,3,16,0.02,16,88,203,-7,285,15,-432,0,-418,
009C Apt Bath,63,1020.6,0.09,0,0,31,0.06,31,318,339,14,671,-505,-240,0,-748,
F001 Vestibule,39,326.7,0.03,0,2,11,0.02,11,68,164,2,233,10,-251,0,-242,
F003 Vestibule,72,647.0,0.06,4,4,22,0.04,22,134,324,4,462,19,-299,0,-281,
H001 Meeting,707,8813.8,37.07,469,469,1002,2.26,1002,12848,8210,6044,27102,-1933,-2478,0,-4474,
H002 Office,108,1461.3,0.64,11,11,58,0.11,58,518,709,110,1338,-664,-641,0,-1313,
H003 Lounge,783,9237.6,8.66,95,95,320,0.64,320,3587,3151,963,7700,-4080,-1546,0,-5671,
H004 Storage,23,177.6,0.00,0,1,6,0.01,6,31,95,-2,124,5,-27,0,-22,
H006 Breakroom,164,2582.9,16.18,110,110,466,1.20,466,5938,3852,4582,14372,569,-1082,0,-522,
H007 Trash,274,3245.4,0.00,18,18,79,0.13,79,569,1088,-42,1615,95,-1410,0,-1322,
H011 Kitchen,686,7441.2,46.61,316,316,790,2.18,790,9765,6820,9569,26153,1636,-1636,0,-489,
H012 Study,227,3160.3,2.96,33,33,104,0.20,104,1225,961,256,2443,-1396,-1204,0,-2618,
H013 Laundry,66,591.2,0.00,0,0,16,0.03,16,150,197,1,349,-293,-130,0,-425,
H015 Quiet,112,1046.7,2.28,35,35,71,0.13,71,807,698,114,1618,-339,-117,0,-462,
L014 Laundry,278,3656.8,0.00,0,0,130,0.14,130,930,745,8,1684,-1810,-1562,0,-3383,
Q002 Corridor,368,3537.8,0.33,20,20,83,0.15,83,732,1009,21,1762,103,-323,0,-223,
Q003 Corridor,705,6799.1,0.64,38,38,160,0.28,160,1407,1960,40,3407,198,-815,0,-624,
