Room Name,Floor Area,Volume,Number of People,Calculated Ventilation CFM,Input Ventilation CFM,Coling Tons, Cooling CFM,Total Cooling Load (Btu/h),Instant Sensible Cooling,Delay Sensible Cooling,Latent Cooling,Heating CFM,Total Heating Load (Btu/h),Instant Sensible Heating,Delay Sensible Heating,Latent Heating
009 Apt Living,530.0,6190.3,2.0,45.0,45.0,0.37,194.0,4411.0,2016.0,2076.0,318.0,194.0,-2028.0,-764.0,-1247.0,0.0
009A Apt Bed,78.0,1188.3,2.0,17.0,17.0,0.12,56.0,1400.0,512.0,659.0,229.0,56.0,-702.0,-105.0,-592.0,0.0
009B Apt Bed,0.0,1741.4,2.0,20.0,20.0,0.15,72.0,1763.0,665.0,856.0,241.0,72.0,-1500.0,-178.0,-1314.0,0.0
009B.1 Apt Closet,0.0,503.2,0.0,3.0,3.0,0.02,16.0,285.0,88.0,203.0,-7.0,16.0,-418.0,15.0,-432.0,0.0
009C Apt Bath,63.0,1020.6,0.09,0,0,0.06,31.0,671.0,318.0,339.0,14.0,31.0,-748.0,-505.0,-240.0,0.0
F001 Vestibule,39.0,326.7,0.03,0,2.0,0.02,11.0,233.0,68.0,164.0,2.0,11.0,-242.0,10.0,-251.0,0.0
F003 Vestibule,72.0,647.0,0.06,4.0,4.0,0.04,22.0,462.0,134.0,324.0,4.0,22.0,-281.0,19.0,-299.0,0.0
H001 Meeting,707.0,8813.8,37.07,469.0,469.0,2.26,1002.0,27102.0,12848.0,8210.0,6044.0,1002.0,-4474.0,-1933.0,-2478.0,0.0
H002 Office,108.0,1461.3,0.64,11.0,11.0,0.11,58.0,1338.0,518.0,709.0,110.0,58.0,-1313.0,-664.0,-641.0,0.0
H003 Lounge,783.0,9237.6,8.66,95.0,95.0,0.64,320.0,7700.0,3587.0,3151.0,963.0,320.0,-5671.0,-4080.0,-1546.0,0.0
H004 Storage,23.0,177.6,0.0,0,1.0,0.01,6.0,124.0,31.0,95.0,-2.0,6.0,-22.0,5.0,-27.0,0.0
H006 Breakroom,164.0,2582.9,16.18,110.0,110.0,1.2,466.0,14372.0,5938.0,3852.0,4582.0,466.0,-522.0,569.0,-1082.0,0.0
H007 Trash,274.0,3245.4,0.0,18.0,18.0,0.13,79.0,1615.0,569.0,1088.0,-42.0,79.0,-1322.0,95.0,-1410.0,0.0
H011 Kitchen,686.0,7441.2,46.61,316.0,316.0,2.18,790.0,26153.0,9765.0,6820.0,9569.0,790.0,-489.0,1636.0,-1636.0,0.0
H012 Study,227.0,3160.3,2.96,33.0,33.0,0.2,104.0,2443.0,1225.0,961.0,256.0,104.0,-2618.0,-1396.0,-1204.0,0.0
H013 Laundry,66.0,591.2,0.0,0,0,0.03,16.0,349.0,150.0,197.0,1.0,16.0,-425.0,-293.0,-130.0,0.0
H015 Quiet,112.0,1046.7,2.28,35.0,35.0,0.13,71.0,1618.0,807.0,698.0,114.0,71.0,-462.0,-339.0,-117.0,0.0
L014 Laundry,278.0,3656.8,0.0,0,0,0.14,130.0,1684.0,930.0,745.0,8.0,130.0,-3383.0,-1810.0,-1562.0,0.0
Q002 Corridor,368.0,3537.8,0.33,20.0,20.0,0.15,83.0,1762.0,732.0,1009.0,21.0,83.0,-223.0,103.0,-323.0,0.0
Q003 Corridor,705.0,6799.1,0.64,38.0,38.0,0.28,160.0,3407.0,1407.0,1960.0,40.0,160.0,-624.0,198.0,-815.0,0.0
R091 Restroom,100.0,930.5,0.08,0,0,0.06,32.0,706.0,290.0,377.0,39.0,32.0,-529.0,-461.0,-66.0,0.0
R092 Restroom,53.0,461.6,0.04,0,0,0.04,21.0,455.0,141.0,294.0,20.0,21.0,-284.0,-229.0,-55.0,0.0
Room 01-00,1603.0,11290.1,1.41,85.0,85.0,0.78,440.0,9363.0,4491.0,4780.0,92.0,440.0,-2543.0,-1428.0,-1093.0,0.0
Room 01-01,209.0,1520.6,2.0,21.0,21.0,0.2,105.0,2452.0,1276.0,930.0,246.0,105.0,-1413.0,-720.0,-684.0,0.0
Room 01-02,196.0,1418.9,2.0,21.0,21.0,0.2,102.0,2383.0,1229.0,912.0,242.0,102.0,-1000.0,-712.0,-281.0,0.0
Room 01-03,200.0,1447.5,2.0,21.0,21.0,0.2,103.0,2405.0,1240.0,923.0,242.0,103.0,-978.0,-716.0,-254.0,0.0
Room 01-04,191.0,1404.5,2.0,21.0,21.0,0.2,102.0,2385.0,1223.0,919.0,242.0,102.0,-973.0,-711.0,-255.0,0.0
Room 01-05,173.0,1433.1,2.0,21.0,21.0,0.21,107.0,2495.0,1233.0,1018.0,244.0,107.0,-1004.0,-713.0,-284.0,0.0
